year,country,runningOrder,place
2013,Norway,24,4
2013,Georgia,25,15
2013,Ireland,26,26
2014,Ukraine,1,6
2014,Belarus,2,16
2014,Azerbaijan,3,22
2014,Iceland,4,15
2014,Norway,5,8
2014,Romania,6,12
2014,Armenia,7,4
2014,Montenegro,8,19
2014,Poland,9,14
2014,Greece,10,20
2014,Austria,11,1
2014,Germany,12,18
2014,Sweden,13,3
2014,France,14,26
2014,Russia,15,7
2014,Italy,16,21
2014,Slovenia,17,25
2014,Finland,18,11
2014,Spain,19,10
2014,Switzerland,20,13
2014,Hungary,21,5
2014,Malta,22,23
2014,Denmark,23,9
2014,Netherlands,24,2
2014,San Marino,25,24
2014,United Kingdom,26,17
2015,Slovenia,1,14
2015,France,2,25
2015,Israel,3,9
2015,Estonia,4,7
2015,United Kingdom,5,24
2015,Armenia,6,16
2015,Lithuania,7,18
2015,Serbia,8,10
2015,Norway,9,8
2015,Sweden,10,1
2015,Cyprus,11,22
2015,Australia,12,5
2015,Belgium,13,4
2015,Austria,14,26
2015,Greece,15,19
2015,Montenegro,16,13
2015,Germany,17,27
2015,Poland,18,23
2015,Latvia,19,6
2015,Romania,20,15
2015,Spain,21,21
2015,Hungary,22,20
2015,Georgia,23,11
2015,Azerbaijan,24,12
2015,Russia,25,2
2015,Albania,26,17
2015,Italy,27,3
2016,Belgium,1,10
2016,Czech Republic,2,25
2016,Netherlands,3,11
2016,Azerbaijan,4,17
2016,Hungary,5,19
2016,Italy,6,16
2016,Israel,7,14
2016,Bulgaria,8,4
2016,Sweden,9,5
2016,Germany,10,26
2016,France,11,6
2016,Poland,12,8
2016,Australia,13,2
2016,Cyprus,14,21
2016,Serbia,15,18
2016,Lithuania,16,9
2016,Croatia,17,23
2016,Russia,18,3
2016,Spain,19,22
2016,Latvia,20,15
2016,Ukraine,21,1
2016,Malta,22,12
2016,Georgia,23,20
2016,Austria,24,13
2016,United Kingdom,25,24
2016,Armenia,26,7
2017,Israel,1,23
2017,Poland,2,22
2017,Belarus,3,17
2017,Austria,4,16
2017,Armenia,5,18
2017,Netherlands,6,11
2017,Moldova,7,3
2017,Hungary,8,8
2017,Italy,9,6
2017,Denmark,10,20
2017,Portugal,11,1
2017,Azerbaijan,12,14
2017,Croatia,13,13
2017,Australia,14,9
2017,Greece,15,19
2017,Spain,16,26
2017,Norway,17,10
2017,United Kingdom,18,15
2017,Cyprus,19,21
2017,Romania,20,7
2017,Germany,21,25
2017,Ukraine,22,24
2017,Belgium,23,4
2017,Sweden,24,5
2017,Bulgaria,25,2
2017,France,26,12
2018,Ukraine,1,17
2018,Spain,2,23
2018,Slovenia,3,22
2018,Lithuania,4,12
2018,Austria,5,3
2018,Estonia,6,8
2018,Norway,7,15
2018,Portugal,8,26
2018,United Kingdom,9,24
2018,Serbia,10,19
2018,Germany,11,4
2018,Albania,12,11
2018,France,13,13
2018,Czech Republic,14,6
2018,Denmark,15,9
2018,Australia,16,20
2018,Finland,17,25
2018,Bulgaria,18,14
2018,Moldova,19,10
2018,Sweden,20,7
2018,Hungary,21,21
2018,Israel,22,1
2018,Netherlands,23,18
2018,Ireland,24,16
2018,Cyprus,25,2
2018,Italy,26,5
2019,Malta,1,14
2019,Albania,2,17
2019,Czech Republic,3,11
2019,Germany,4,25
2019,Russia,5,3
2019,Denmark,6,12
2019,San Marino,7,19
2019,North Macedonia,8,7
2019,Sweden,9,5
2019,Slovenia,10,15
2019,Cyprus,11,13
2019,Netherlands,12,1
2019,Greece,13,21
2019,Israel,14,23
2019,Norway,15,6
2019,United Kingdom,16,26
2019,Iceland,17,10
2019,Estonia,18,20
2019,Belarus,19,24
2019,Azerbaijan,20,8
2019,France,21,16
2019,Italy,22,2
2019,Serbia,23,18
2019,Switzerland,24,4
2019,Australia,25,9
2019,Spain,26,22
2021,Cyprus,1,16
2021,Albania,2,21
2021,Israel,3,17
2021,Belgium,4,19
2021,Russia,5,9
2021,Malta,6,7
2021,Portugal,7,12
2021,Serbia,8,15
2021,United Kingdom,9,26
2021,Greece,10,10
2021,Switzerland,11,3
2021,Iceland,12,4
2021,Spain,13,24
2021,Moldova,14,13
2021,Germany,15,25
2021,Finland,16,6
2021,Bulgaria,17,11
2021,Lithuania,18,8
2021,Ukraine,19,5
2021,France,20,2
2021,Azerbaijan,21,20
2021,Norway,22,18
2021,Netherlands,23,23
2021,Italy,24,1
2021,Sweden,25,14
2021,San Marino,26,22
2022,Czech Republic,1,22
2022,Romania,2,18
2022,Portugal,3,9
2022,Finland,4,21
2022,Switzerland,5,17
2022,France,6,24
2022,Norway,7,10
2022,Armenia,8,20
2022,Italy,9,6
2022,Spain,10,3
2022,Netherlands,11,11
2022,Ukraine,12,1
2022,Germany,13,25
2022,Lithuania,14,14
2022,Azerbaijan,15,16
2022,Belgium,16,19
2022,Greece,17,8
2022,Iceland,18,23
2022,Moldova,19,7
2022,Sweden,20,4
2022,Australia,21,15
2022,United Kingdom,22,2
2022,Poland,23,12
2022,Serbia,24,5
2022,Estonia,25,13
2023,Austria,1,15
2023,Portugal,2,23
2023,Switzerland,3,20
2023,Poland,4,19
2023,Serbia,5,24
2023,France,6,16
2023,Cyprus,7,12
2023,Spain,8,17
2023,Sweden,9,1
2023,Albania,10,22
2023,Italy,11,4
2023,Estonia,12,8
2023,Finland,13,2
2023,Czechia,14,10
2023,Australia,15,9
2023,Belgium,16,7
2023,Armenia,17,14
2023,Moldova,18,18
2023,Ukraine,19,6
2023,Norway,20,5
2023,Germany,21,26
2023,Lithuania,22,11
2023,Israel,23,3
2023,Slovenia,24,21
2023,Croatia,25,13
2023,United Kingdom,26,25
2024,Sweden,1,9
2024,Ukraine,2,3
2024,Germany,3,12
2024,Luxembourg,4,13
2024,Netherlands,,—
2024,Israel,6,5
2024,Lithuania,7,14
2024,Spain,8,22
2024,Estonia,9,20
2024,Ireland,10,6
2024,Latvia,11,16
2024,Greece,12,11
2024,United Kingdom,13,18
2024,Norway,14,25
2024,Italy,15,7
2024,Serbia,16,17
2024,Finland,17,19
2024,Portugal,18,10
2024,Armenia,19,8
2024,Cyprus,20,15
2024,Switzerland,21,1
2024,Slovenia,22,23
2024,Croatia,23,2
2024,Georgia,24,21
2024,France,25,4
2024,Austria,26,24
